,raw-s-delta,volume-delta,ewm_last20_volume_base_s,ewm_last20_raw_s,ewm_volume_base_s,mean_volume_base_s,mean_s_dispersion,daily_sd_s_dispersion,volume_base_s_coff,raw_s_coff,volume_base_s_delta,s_dispersion_delta,volume_base_s_z,raw_s_z,s_volume_z,s_dispersion_z,volume_base_s_MACD_ewma12-ewma26,raw_s_MACD_ewma12-ewma26,s_volume_MACD_ewma12-ewma26,s_dispersion_MACD_ewma12-ewma26
0.015655655655655656,-0.02419008093969484,0.0012720718692938483,0.008436640633417527,-0.0038002249602852108,-0.0564316647904058,-0.014666652410022133,0.006255021959922782,0.010166071612154319,0.00885227590202317,-0.004014129985293781,0.03136565340443887,0.06874778916843326,0.00015513422412463015,0.00013662633249215977,-0.0002899270629112332,0.00014295486045394005,-0.006557893387560067,-0.015027494322284382,-0.0006969232522603862,-0.004030806582684652
0.015675675675675675,-0.024180022658780432,0.0012719233726464958,0.008431815518160347,-0.0037998826809298183,-0.05640073674408636,-0.014678296253769624,0.006252546138000265,0.010160681230332728,0.008851590383240215,-0.004014234824389788,0.03134860327452979,0.06872443723563842,0.00015554450931924566,0.00013605166332410063,-0.0002899226511206882,0.00014304702059671096,-0.006554503155121619,-0.015015203039480797,-0.0006952456918279998,-0.004031487185419225
0.015695695695695695,-0.024169975103588915,0.0012717750259378453,0.008426994524547156,-0.003799540567641453,-0.05636985949337783,-0.014689893433335627,0.006250074335321285,0.01015529536459732,0.008850904285138293,-0.004014339383034004,0.03133157041425066,0.06870110172153221,0.00015595433805660412,0.0001354775594972867,-0.0002899182433446882,0.00014313910227282256,-0.00655111429576902,-0.015002931938955699,-0.0006935695358981038,-0.004032162995549027
0.015715715715715714,-0.02415993825602087,0.0012716268288373933,0.00842217764544696,-0.003799198620405863,-0.056339032879759936,-0.014701444135126834,0.006247606539003074,0.010149914008927547,0.008850217611723542,-0.004014443662053806,0.03131455479631953,0.06867778260714116,0.0001563637112396665,0.00013490402006779073,-0.00028991383955885526,0.0001432311056612486,-0.006547726819133835,-0.014990680968487949,-0.0006918947832267613,-0.004032834031614591
0.015735735735735737,-0.024149912098022374,0.0012714787810158728,0.00841736487375372,-0.0037988568392089586,-0.05630825674543788,-0.014712948544632915,0.006245142736220636,0.010144537157316112,0.008849530366980952,-0.004014547662273347,0.031297556393519485,0.06865447987352798,0.00015677262976832807,0.00013433104409427637,-0.0002899094397389406,0.00014332303094023022,-0.006544340734758455,-0.014978450076048082,-0.0006902214325692632,-0.0040335003120735525
0.015755755755755756,-0.02413989661158322,0.0012713308821452635,0.00841255620238479,-0.00379851522403622,-0.056277530933335276,-0.01472440684643409,0.006242682914206022,0.010139164803768861,0.008848842554873613,-0.004014651384513118,0.03128057517869569,0.068631193501791,0.00015718109453981,0.00013375863063765092,-0.00028990504386083133,0.0001434148782872878,-0.006540956052097228,-0.014966239209797476,-0.0006885494826799044,-0.004034161855301109
0.015775775775775776,-0.02412989177873877,0.0012711831318987657,0.008407751624282608,-0.0037981737748736077,-0.05624685528709139,-0.014735819224204836,0.006240227060248484,0.010133796942304523,0.008848154179343988,-0.0040147548295905965,0.03126361112475852,0.06860792347306437,0.00015758910644814267,0.00013318677876153086,-0.00028990065190054104,0.0001435066478792107,-0.0065375727805167495,-0.014954048318087337,-0.000686878932312374,-0.004034818679590525
0.015795795795795795,-0.024119897581567278,0.001271035529950811,0.008402951132412118,-0.003797832491706224,-0.05621622965105592,-0.014747185860721232,0.006237775161693668,0.0101284335669551,0.008847465244312562,-0.00401485799831944,0.03124666420467921,0.06858466976851785,0.00015799666638491923,0.00013261548753155957,-0.00028989626383421776,0.00014359833989207937,-0.006534190929296906,-0.01494187734945759,-0.0006852097802192664,-0.004035470803153505
0.015815815815815815,-0.02410991400219218,0.0012708880759770395,0.008398154719763717,-0.0037974913745199225,-0.05618565387028676,-0.014758506937864473,0.006235327205943591,0.010123074671765308,0.008846775753679939,-0.004014960891510569,0.031229734391493638,0.06856143236935684,0.00015840377523845125,0.00013204475601618607,-0.0002898918796381343,0.0001436899545012486,-0.006530810507631462,-0.01492972625263624,-0.0006835420251526675,-0.004036118244120661
0.015835835835835834,-0.02409994102278007,0.0012707407696543182,0.008393362379349897,-0.0037971504232997603,-0.05615512779054333,-0.014769782636626745,0.0062328831804562106,0.010117720250792942,0.008846085711324643,-0.004015063509970964,0.03121282165829907,0.06853821125682187,0.00015881043389458254,0.00013147458328591774,-0.00028988749928869845,0.0001437814918813731,-0.006527431524628372,-0.014917594976538337,-0.0006818756658636386,-0.004036761020541932
