Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
ILF,1.960,,,,,,,,,,,,,,
SDOW,1.953,,,,,,,,,,,,,,
SBM,1.948,,,,,,,,,,,,,,
TWOL,1.948,,,,,,,,,,,,,,
PIO,1.945,,,,,,,,,,,,,,
MORL,1.937,,,,,,,,,,,,,,
EWT,1.936,,,,,,,,,,,,,,
IGN,1.925,,,,,,,,,,,,,,
NIB,1.921,,,,,,,,,,,,,,
TYO,1.914,,,,,,,,,,,,,,
VT,1.910,,,,,,,,,,,,,,
UNL,1.909,,,,,,,,,,,,,,
FKU,1.900,,,,,,,,,,,,,,
ULE,1.899,,,,,,,,,,,,,,
IJR,1.892,,,,,,,,,,,,,,
DSG,1.891,,,,,,,,,,,,,,
FEU,1.887,,,,,,,,,,,,,,
VDE,1.881,,,,,,,,,,,,,,
UCD,1.880,,,,,,,,,,,,,,
BZQ,1.879,,,,,,,,,,,,,,
DBUK,1.869,,,,,,,,,,,,,,
DJP,1.865,,,,,,,,,,,,,,
GOVT,1.865,,,,,,,,,,,,,,
SIVR,1.856,,,,,,,,,,,,,,
RUSL,1.853,,,,,,,,,,,,,,
DOL,1.850,,,,,,,,,,,,,,
DVY,1.848,,,,,,,,,,,,,,
PALL,1.843,,,,,,,,,,,,,,
MLPY,1.842,,,,,,,,,,,,,,
SDY,1.837,,,,,,,,,,,,,,
DBJP,1.835,,,,,,,,,,,,,,
DOG,1.825,,,,,,,,,,,,,,
GLDI,1.824,,,,,,,,,,,,,,
AMJ,1.823,,,,,,,,,,,,,,
MLPW,1.809,,,,,,,,,,,,,,
ALT,1.807,,,,,,,,,,,,,,
EEH,1.804,,,,,,,,,,,,,,
EDC,1.801,,,,,,,,,,,,,,
CWB,1.798,,,,,,,,,,,,,,
ELD,1.794,,,,,,,,,,,,,,
BOND,1.786,,,,,,,,,,,,,,
KIE,1.785,,,,,,,,,,,,,,
VGT,1.773,,,,,,,,,,,,,,
INDY,1.773,,,,,,,,,,,,,,
DCNG,1.766,,,,,,,,,,,,,,
ARGT,1.762,,,,,,,,,,,,,,
SOCL,1.760,,,,,,,,,,,,,,
IWF,1.757,,,,,,,,,,,,,,
IHI,1.757,,,,,,,,,,,,,,
IWD,1.754,,,,,,,,,,,,,,
RFG,1.753,,,,,,,,,,,,,,
DIG,1.752,,,,,,,,,,,,,,
DLBS,1.745,,,,,,,,,,,,,,
DBEU,1.739,,,,,,,,,,,,,,
IEFA,1.739,,,,,,,,,,,,,,
CCX,1.737,,,,,,,,,,,,,,
SHV,1.737,,,,,,,,,,,,,,
OOK,1.734,,,,,,,,,,,,,,
PGF,1.734,,,,,,,,,,,,,,
RJA,1.728,,,,,,,,,,,,,,
IWN,1.718,,,,,,,,,,,,,,
DGL,1.710,,,,,,,,,,,,,,
ALD,1.701,,,,,,,,,,,,,,
BRF,1.701,,,,,,,,,,,,,,
WMH,1.701,,,,,,,,,,,,,,
CPI,1.701,,,,,,,,,,,,,,
XPP,1.699,,,,,,,,,,,,,,
