Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
LTL,1.035,,,,,,,,,,,,,,
TILT,1.035,,,,,,,,,,,,,,
FFR,1.034,,,,,,,,,,,,,,
BSCI,1.033,,,,,,,,,,,,,,
BSCJ,1.031,,,,,,,,,,,,,,
BSCK,1.028,,,,,,,,,,,,,,
CNPF,1.027,,,,,,,,,,,,,,
IPS,1.026,,,,,,,,,,,,,,
ROSA,1.025,,,,,,,,,,,,,,
IBND,1.024,,,,,,,,,,,,,,
FNDF,1.024,,,,,,,,,,,,,,
PIE,1.024,,,,,,,,,,,,,,
ILB,1.023,,,,,,,,,,,,,,
GWX,1.023,,,,,,,,,,,,,,
PIZ,1.022,,,,,,,,,,,,,,
EEZ,1.021,,,,,,,,,,,,,,
SJL,1.020,,,,,,,,,,,,,,
BSJK,1.020,,,,,,,,,,,,,,
GMTB,1.019,,,,,,,,,,,,,,
GYLD,1.019,,,,,,,,,,,,,,
JEM,1.019,,,,,,,,,,,,,,
CRUD,1.018,,,,,,,,,,,,,,
SCHC,1.018,,,,,,,,,,,,,,
FDTS,1.017,,,,,,,,,,,,,,
YMLI,1.017,,,,,,,,,,,,,,
BSJJ,1.016,,,,,,,,,,,,,,
BSCH,1.013,,,,,,,,,,,,,,
GNAT,1.012,,,,,,,,,,,,,,
PGHY,1.011,,,,,,,,,,,,,,
DENT,1.010,,,,,,,,,,,,,,
DPU,1.010,,,,,,,,,,,,,,
UEM,1.009,,,,,,,,,,,,,,
BSCL,1.007,,,,,,,,,,,,,,
BBRC,1.007,,,,,,,,,,,,,,
BSCM,1.005,,,,,,,,,,,,,,
BSJH,1.004,,,,,,,,,,,,,,
CROP,1.003,,,,,,,,,,,,,,
EFO,1.002,,,,,,,,,,,,,,
RVNU,1.002,,,,,,,,,,,,,,
DEW,1.001,,,,,,,,,,,,,,
FNDC,1.001,,,,,,,,,,,,,,
AAIT,1.000,,,,,,,,,,,,,,
ABCS,1.000,,,,,,,,,,,,,,
AGOL,1.000,,,,,,,,,,,,,,
AXIT,1.000,,,,,,,,,,,,,,
AZIA,1.000,,,,,,,,,,,,,,
BGU,1.000,,,,,,,,,,,,,,
BONO,1.000,,,,,,,,,,,,,,
BRAF,1.000,,,,,,,,,,,,,,
BRIS,1.000,,,,,,,,,,,,,,
BRXX,1.000,,,,,,,,,,,,,,
BRZS,1.000,,,,,,,,,,,,,,
BSCF,1.000,,,,,,,,,,,,,,
BSJF,1.000,,,,,,,,,,,,,,
BSR,1.000,,,,,,,,,,,,,,
BVT,1.000,,,,,,,,,,,,,,
CFT,1.000,,,,,,,,,,,,,,
CHIE,1.000,,,,,,,,,,,,,,
CHXF,1.000,,,,,,,,,,,,,,
CSCB,1.000,,,,,,,,,,,,,,
CSMB,1.000,,,,,,,,,,,,,,
DBAP,1.000,,,,,,,,,,,,,,
DBT,1.000,,,,,,,,,,,,,,
DDI,1.000,,,,,,,,,,,,,,
DKA,1.000,,,,,,,,,,,,,,
DMM,1.000,,,,,,,,,,,,,,
DND,1.000,,,,,,,,,,,,,,
DOIL,1.000,,,,,,,,,,,,,,
DSTJ,1.000,,,,,,,,,,,,,,
DSV,1.000,,,,,,,,,,,,,,
EEG,1.000,,,,,,,,,,,,,,
EEHB,1.000,,,,,,,,,,,,,,
EFU,1.000,,,,,,,,,,,,,,
EKH,1.000,,,,,,,,,,,,,,
ELG,1.000,,,,,,,,,,,,,,
EMDI,1.000,,,,,,,,,,,,,,
EMM,1.000,,,,,,,,,,,,,,
ERW,1.000,,,,,,,,,,,,,,
FCV,1.000,,,,,,,,,,,,,,
FHC,1.000,,,,,,,,,,,,,,
FLG,1.000,,,,,,,,,,,,,,
FMV,1.000,,,,,,,,,,,,,,
FPA,1.000,,,,,,,,,,,,,,
GASZ,1.000,,,,,,,,,,,,,,
GDAY,1.000,,,,,,,,,,,,,,
GERJ,1.000,,,,,,,,,,,,,,
GGGG,1.000,,,,,,,,,,,,,,
GLCB,1.000,,,,,,,,,,,,,,
GSGO,1.000,,,,,,,,,,,,,,
GSMA,1.000,,,,,,,,,,,,,,
GSO,1.000,,,,,,,,,,,,,,
GSRA,1.000,,,,,,,,,,,,,,
HGI,1.000,,,,,,,,,,,,,,
HHH,1.000,,,,,,,,,,,,,,
HYE,1.000,,,,,,,,,,,,,,
IBCB,1.000,,,,,,,,,,,,,,
IBCC,1.000,,,,,,,,,,,,,,
IBCD,1.000,,,,,,,,,,,,,,
IBCE,1.000,,,,,,,,,,,,,,
IBDA,1.000,,,,,,,,,,,,,,
IBDC,1.000,,,,,,,,,,,,,,
IBDD,1.000,,,,,,,,,,,,,,
IDHB,1.000,,,,,,,,,,,,,,
IFAS,1.000,,,,,,,,,,,,,,
IFSM,1.000,,,,,,,,,,,,,,
IGU,1.000,,,,,,,,,,,,,,
IGW,1.000,,,,,,,,,,,,,,
IIH,1.000,,,,,,,,,,,,,,
IOIL,1.000,,,,,,,,,,,,,,
IPK,1.000,,,,,,,,,,,,,,
IQDY,1.000,,,,,,,,,,,,,,
IRO,1.000,,,,,,,,,,,,,,
JJS,1.000,,,,,,,,,,,,,,
JYF,1.000,,,,,,,,,,,,,,
KME,1.000,,,,,,,,,,,,,,
LATM,1.000,,,,,,,,,,,,,,
LHB,1.000,,,,,,,,,,,,,,
MATH,1.000,,,,,,,,,,,,,,
MATL,1.000,,,,,,,,,,,,,,
MKH,1.000,,,,,,,,,,,,,,
MWJ,1.000,,,,,,,,,,,,,,
MZZ,1.000,,,,,,,,,,,,,,
NFO,1.000,,,,,,,,,,,,,,
ONN,1.000,,,,,,,,,,,,,,
OTP,1.000,,,,,,,,,,,,,,
OTR,1.000,,,,,,,,,,,,,,
PAO,1.000,,,,,,,,,,,,,,
PFA,1.000,,,,,,,,,,,,,,
PFEM,1.000,,,,,,,,,,,,,,
PFIG,1.000,,,,,,,,,,,,,,
PIQ,1.000,,,,,,,,,,,,,,
PJF,1.000,,,,,,,,,,,,,,
PLK,1.000,,,,,,,,,,,,,,
PMNA,1.000,,,,,,,,,,,,,,
PQY,1.000,,,,,,,,,,,,,,
PQZ,1.000,,,,,,,,,,,,,,
QQQM,1.000,,,,,,,,,,,,,,
RETS,1.000,,,,,,,,,,,,,,
RHO,1.000,,,,,,,,,,,,,,
RMM,1.000,,,,,,,,,,,,,,
ROB,1.000,,,,,,,,,,,,,,
ROI,1.000,,,,,,,,,,,,,,
RPX,1.000,,,,,,,,,,,,,,
RSU,1.000,,,,,,,,,,,,,,
RTG,1.000,,,,,,,,,,,,,,
RWG,1.000,,,,,,,,,,,,,,
RWXL,1.000,,,,,,,,,,,,,,
SAGG,1.000,,,,,,,,,,,,,,
SBV,1.000,,,,,,,,,,,,,,
SCOG,1.000,,,,,,,,,,,,,,
SCTR,1.000,,,,,,,,,,,,,,
SJH,1.000,,,,,,,,,,,,,,
SMMU,1.000,,,,,,,,,,,,,,
TDN,1.000,,,,,,,,,,,,,,
TDV,1.000,,,,,,,,,,,,,,
TDX,1.000,,,,,,,,,,,,,,
TEST,1.000,,,,,,,,,,,,,,
THHY,1.000,,,,,,,,,,,,,,
TLL,1.000,,,,,,,,,,,,,,
TWON,1.000,,,,,,,,,,,,,,
TWQ,1.000,,,,,,,,,,,,,,
TWTI,1.000,,,,,,,,,,,,,,
TYH,1.000,,,,,,,,,,,,,,
TYP,1.000,,,,,,,,,,,,,,
TZD,1.000,,,,,,,,,,,,,,
TZE,1.000,,,,,,,,,,,,,,
TZL,1.000,,,,,,,,,,,,,,
UBD,1.000,,,,,,,,,,,,,,
UDNT,1.000,,,,,,,,,,,,,,
UUPT,1.000,,,,,,,,,,,,,,
UVG,1.000,,,,,,,,,,,,,,
UVT,1.000,,,,,,,,,,,,,,
UXJ,1.000,,,,,,,,,,,,,,
WMW,1.000,,,,,,,,,,,,,,
WREI,1.000,,,,,,,,,,,,,,
XGC,1.000,,,,,,,,,,,,,,
XLBS,1.000,,,,,,,,,,,,,,
XLES,1.000,,,,,,,,,,,,,,
XLYS,1.000,,,,,,,,,,,,,,
XOVR,1.000,,,,,,,,,,,,,,
XVIX,1.000,,,,,,,,,,,,,,
ALUM,1.000,,,,,,,,,,,,,,
COLX,1.000,,,,,,,,,,,,,,
CRBI,1.000,,,,,,,,,,,,,,
CRO,1.000,,,,,,,,,,,,,,
DIVS,1.000,,,,,,,,,,,,,,
EEO,1.000,,,,,,,,,,,,,,
ELR,1.000,,,,,,,,,,,,,,
EMEY,1.000,,,,,,,,,,,,,,
FCD,1.000,,,,,,,,,,,,,,
FDV,1.000,,,,,,,,,,,,,,
FISN,1.000,,,,,,,,,,,,,,
FLYX,1.000,,,,,,,,,,,,,,
FNDB,1.000,,,,,,,,,,,,,,
FOL,1.000,,,,,,,,,,,,,,
INFL,1.000,,,,,,,,,,,,,,
JFT,1.000,,,,,,,,,,,,,,
MFLA,1.000,,,,,,,,,,,,,,
NOMO,1.000,,,,,,,,,,,,,,
PEF,1.000,,,,,,,,,,,,,,
PKOL,1.000,,,,,,,,,,,,,,
PSTL,1.000,,,,,,,,,,,,,,
QQQV,1.000,,,,,,,,,,,,,,
RTW,1.000,,,,,,,,,,,,,,
SGGG,1.000,,,,,,,,,,,,,,
SHMO,1.000,,,,,,,,,,,,,,
SLVY,1.000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
